trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
41,False,"{'a': 0.00299815767, 'e': 0.8843305315292174}",20,8,-74.16220883056388,"{0: 7, 1: 1, 2: 2, 3: 1, 4: 1}",1
42,False,"{'a': 0.00299815767, 'e': 0.8816831415734268}",20,0,-148.15861478910784,"{0: 11, 1: 1, 2: 4, 3: 2, 4: 2}",0
43,False,"{'a': 0.00299815767, 'e': 0.8790436770180697}",30,0,-254.70971516962382,"{0: 18, 1: 3, 2: 2, 3: 2, 4: 5}",1
44,False,"{'a': 0.00299815767, 'e': 0.876412114137147}",35,0,-280.93750114412217,"{0: 21, 1: 1, 2: 6, 3: 2, 4: 5}",0
45,False,"{'a': 0.00299815767, 'e': 0.8737884292756872}",25,0,-134.8743553392102,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
46,False,"{'a': 0.00299815767, 'e': 0.8711725988495338}",25,0,-66.95574056368274,"{0: 18, 1: 0, 2: 5, 3: 2, 4: 0}",0
47,False,"{'a': 0.00299815767, 'e': 0.8685645993451335}",35,0,-101.76077397470304,"{0: 22, 1: 3, 2: 9, 3: 1, 4: 0}",0
48,False,"{'a': 0.00299815767, 'e': 0.8659644073193246}",30,0,-301.72286613441395,"{0: 17, 1: 0, 2: 6, 3: 1, 4: 6}",0
49,False,"{'a': 0.00299815767, 'e': 0.8633719993991265}",20,0,-88.93885401003486,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 2}",0
50,False,"{'a': 0.00299815767, 'e': 0.8607873522815294}",25,0,-137.8046320504138,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 3}",0
51,False,"{'a': 0.00299815767, 'e': 0.8582104427332848}",20,0,-117.78701561867845,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
52,False,"{'a': 0.00299815767, 'e': 0.8556412475906974}",25,0,-214.81778614520954,"{0: 15, 1: 0, 2: 5, 3: 1, 4: 4}",0
53,False,"{'a': 0.00299815767, 'e': 0.8530797437594153}",30,0,-136.43076679638986,"{0: 17, 1: 7, 2: 4, 3: 0, 4: 2}",0
54,False,"{'a': 0.00299815767, 'e': 0.8505259082142241}",20,0,-78.69095316834019,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
55,False,"{'a': 0.00299815767, 'e': 0.847979717998839}",20,0,-109.89055938985224,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
56,False,"{'a': 0.00299815767, 'e': 0.8454411502256984}",20,0,-104.02247918135411,"{0: 9, 1: 4, 2: 5, 3: 2, 4: 0}",0
57,False,"{'a': 0.00299815767, 'e': 0.8429101820757589}",20,11,-74.22926414448531,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 2}",1
58,False,"{'a': 0.00299815767, 'e': 0.8403867907982892}",20,0,-166.74091197264255,"{0: 11, 1: 0, 2: 4, 3: 3, 4: 2}",0
59,False,"{'a': 0.00299815767, 'e': 0.8378709537106662}",30,0,-82.93215550443625,"{0: 20, 1: 5, 2: 4, 3: 0, 4: 1}",0
60,False,"{'a': 0.00299815767, 'e': 0.8353626481981712}",25,0,-36.28014973928221,"{0: 18, 1: 3, 2: 3, 3: 1, 4: 0}",0
61,False,"{'a': 0.00299815767, 'e': 0.8328618517137862}",20,0,-129.89231666757834,"{0: 14, 1: 1, 2: 0, 3: 3, 4: 2}",0
62,False,"{'a': 0.00299815767, 'e': 0.8303685417779917}",25,0,-89.42121325469017,"{0: 19, 1: 0, 2: 3, 3: 2, 4: 1}",0
63,False,"{'a': 0.00299815767, 'e': 0.827882695978564}",25,0,-58.68647911871842,"{0: 17, 1: 3, 2: 3, 3: 2, 4: 0}",0
64,False,"{'a': 0.00299815767, 'e': 0.8254042919703743}",20,0,-57.78724013081194,"{0: 15, 1: 3, 2: 0, 3: 1, 4: 1}",0
65,False,"{'a': 0.00299815767, 'e': 0.8229333074751878}",20,0,-33.453221598471806,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
66,False,"{'a': 0.00299815767, 'e': 0.8204697202814627}",30,13,-5.427812093406909,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
67,False,"{'a': 0.00299815767, 'e': 0.818013508244152}",20,0,-116.51342558783017,"{0: 8, 1: 5, 2: 6, 3: 0, 4: 1}",0
68,False,"{'a': 0.00299815767, 'e': 0.8155646492845028}",20,0,-19.342679972514905,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
69,False,"{'a': 0.00299815767, 'e': 0.8131231213898591}",30,0,-78.45188227604157,"{0: 19, 1: 1, 2: 10, 3: 0, 4: 0}",0
70,False,"{'a': 0.00299815767, 'e': 0.8106889026134632}",20,0,-129.58633499630776,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
71,False,"{'a': 0.00299815767, 'e': 0.8082619710742586}",20,0,-168.35864850725062,"{0: 9, 1: 2, 2: 5, 3: 2, 4: 2}",0
72,False,"{'a': 0.00299815767, 'e': 0.8058423049566935}",25,10,-82.67551362241812,"{0: 9, 1: 1, 2: 3, 3: 1, 4: 1}",1
73,False,"{'a': 0.00299815767, 'e': 0.8034298825105246}",20,0,-54.88098183822542,"{0: 12, 1: 4, 2: 3, 3: 1, 4: 0}",0
74,False,"{'a': 0.00299815767, 'e': 0.8010246820506216}",20,14,9.422554345135985,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.00299815767, 'e': 0.7986266819567719}",30,0,-112.48629087422563,"{0: 23, 1: 0, 2: 4, 3: 1, 4: 2}",0
76,False,"{'a': 0.00299815767, 'e': 0.796235860673487}",30,0,-88.5710392741062,"{0: 22, 1: 3, 2: 2, 3: 2, 4: 1}",0
77,False,"{'a': 0.00299815767, 'e': 0.7938521967098079}",20,1,-27.523134144886487,"{0: 16, 1: 2, 2: 0, 3: 0, 4: 1}",1
78,False,"{'a': 0.00299815767, 'e': 0.7914756686391129}",20,0,-56.39285770186498,"{0: 15, 1: 0, 2: 3, 3: 2, 4: 0}",0
79,False,"{'a': 0.00299815767, 'e': 0.7891062550989238}",25,14,-9.93423980567281,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 0}",1
80,False,"{'a': 0.00299815767, 'e': 0.7867439347907151}",20,0,-90.04753963975566,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
81,False,"{'a': 0.00299815767, 'e': 0.7843886864797217}",25,13,-58.10033529490371,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 1}",1
82,False,"{'a': 0.00299815767, 'e': 0.7820404889947482}",30,0,-67.87825621343994,"{0: 22, 1: 4, 2: 2, 3: 1, 4: 1}",0
83,False,"{'a': 0.00299815767, 'e': 0.7796993212279787}",25,0,-85.07360274995247,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
84,False,"{'a': 0.00299815767, 'e': 0.7773651621347872}",20,0,-127.33530772038645,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
85,False,"{'a': 0.00299815767, 'e': 0.7750379907335484}",20,4,-106.10761103343573,"{0: 9, 1: 2, 2: 3, 3: 0, 4: 2}",1
86,False,"{'a': 0.00299815767, 'e': 0.7727177861054485}",30,0,-100.31698962299447,"{0: 20, 1: 3, 2: 5, 3: 1, 4: 1}",0
87,False,"{'a': 0.00299815767, 'e': 0.770404527394298}",30,0,-196.84426588147554,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 5}",0
88,False,"{'a': 0.00299815767, 'e': 0.7680981938063437}",25,4,-32.8260530551125,"{0: 16, 1: 2, 2: 2, 3: 1, 4: 0}",1
89,False,"{'a': 0.00299815767, 'e': 0.765798764610082}",20,2,-70.08224769955679,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 1}",1
90,False,"{'a': 0.00299815767, 'e': 0.7635062191360726}",20,0,-93.73129319117487,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
91,False,"{'a': 0.00299815767, 'e': 0.7612205367767525}",25,15,8.976165218718362,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.00299815767, 'e': 0.7589416969862508}",25,0,-71.85711764387989,"{0: 17, 1: 1, 2: 5, 3: 2, 4: 0}",0
93,False,"{'a': 0.00299815767, 'e': 0.7566696792802041}",20,8,-118.62657101619165,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 3}",1
94,False,"{'a': 0.00299815767, 'e': 0.7544044632355723}",25,0,-92.67228526793143,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
95,False,"{'a': 0.00299815767, 'e': 0.7521460284904552}",20,0,-66.84913695776201,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
96,False,"{'a': 0.00299815767, 'e': 0.7498943547439091}",20,0,-105.43488237565603,"{0: 13, 1: 0, 2: 4, 3: 2, 4: 1}",0
97,False,"{'a': 0.00299815767, 'e': 0.7476494217557649}",30,0,-161.62492778960834,"{0: 19, 1: 3, 2: 5, 3: 0, 4: 3}",0
98,False,"{'a': 0.00299815767, 'e': 0.7454112093464452}",25,11,-22.772642537332327,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
99,False,"{'a': 0.00299815767, 'e': 0.7431796973967842}",30,16,-50.424528204992775,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 1}",1
100,False,"{'a': 0.00299815767, 'e': 0.7409548658478456}",35,14,-96.92845794155409,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 2}",1
101,False,"{'a': 0.00299815767, 'e': 0.7387366947007433}",25,8,-75.03899782503511,"{0: 10, 1: 2, 2: 4, 3: 0, 4: 1}",1
102,False,"{'a': 0.00299815767, 'e': 0.7365251640164608}",20,0,-43.65157231668486,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
103,False,"{'a': 0.00299815767, 'e': 0.7343202539156726}",25,2,-137.289318311703,"{0: 14, 1: 0, 2: 6, 3: 1, 4: 2}",1
104,False,"{'a': 0.00299815767, 'e': 0.732121944578565}",25,11,-4.686335607254059,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
105,False,"{'a': 0.00299815767, 'e': 0.7299302162446585}",30,0,-88.53461623592872,"{0: 21, 1: 2, 2: 5, 3: 1, 4: 1}",0
106,False,"{'a': 0.00299815767, 'e': 0.7277450492126296}",25,0,-73.31508858536402,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
107,False,"{'a': 0.00299815767, 'e': 0.7255664238401343}",20,0,-174.3050776485066,"{0: 9, 1: 2, 2: 6, 3: 0, 4: 3}",0
108,False,"{'a': 0.00299815767, 'e': 0.7233943205436308}",20,13,1.2221698589918064,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
109,False,"{'a': 0.00299815767, 'e': 0.7212287197982041}",20,6,8.048226301872603,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
110,False,"{'a': 0.00299815767, 'e': 0.7190696021373905}",20,0,-116.64615552217847,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
111,False,"{'a': 0.00299815767, 'e': 0.7169169481530018}",20,0,5.765647444960939,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
112,False,"{'a': 0.00299815767, 'e': 0.714770738494952}",20,0,0.655046817069531,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
113,False,"{'a': 0.00299815767, 'e': 0.7126309538710824}",20,0,-58.93344479719643,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
114,False,"{'a': 0.00299815767, 'e': 0.710497575046989}",30,0,-52.62428523321079,"{0: 23, 1: 3, 2: 3, 3: 0, 4: 1}",0
115,False,"{'a': 0.00299815767, 'e': 0.7083705828458485}",20,6,-43.55927929377464,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
116,False,"{'a': 0.00299815767, 'e': 0.7062499581482473}",20,10,-48.7698837031754,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 1}",1
117,False,"{'a': 0.00299815767, 'e': 0.7041356818920086}",20,6,-63.96418304934554,"{0: 8, 1: 3, 2: 2, 3: 0, 4: 1}",1
118,False,"{'a': 0.00299815767, 'e': 0.7020277350720213}",30,0,-24.485903668369527,"{0: 27, 1: 0, 2: 2, 3: 0, 4: 1}",0
119,False,"{'a': 0.00299815767, 'e': 0.6999260987400694}",20,0,-105.84606528216283,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
120,False,"{'a': 0.00299815767, 'e': 0.6978307540046615}",20,8,-31.12579772007345,"{0: 8, 1: 1, 2: 2, 3: 1, 4: 0}",1
121,False,"{'a': 0.00299815767, 'e': 0.6957416820308611}",25,0,-124.33401263570862,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
122,False,"{'a': 0.00299815767, 'e': 0.6936588640401169}",20,4,-43.02784012983084,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 1}",1
123,False,"{'a': 0.00299815767, 'e': 0.6915822813100947}",20,0,-8.318731493381748,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
124,False,"{'a': 0.00299815767, 'e': 0.6895119151745085}",20,0,-77.4160596113715,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
125,False,"{'a': 0.00299815767, 'e': 0.6874477470229527}",20,0,-92.5296719832433,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
126,False,"{'a': 0.00299815767, 'e': 0.6853897583007355}",20,0,-168.7848544342036,"{0: 12, 1: 3, 2: 1, 3: 0, 4: 4}",0
127,False,"{'a': 0.00299815767, 'e': 0.6833379305087114}",30,13,-64.0611392868033,"{0: 12, 1: 1, 2: 2, 3: 1, 4: 1}",1
128,False,"{'a': 0.00299815767, 'e': 0.681292245203115}",25,16,-6.243600199736406,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
129,False,"{'a': 0.00299815767, 'e': 0.6792526839953957}",20,0,-77.3167875367097,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
130,False,"{'a': 0.00299815767, 'e': 0.6772192285520519}",20,0,-42.724068279221214,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
131,False,"{'a': 0.00299815767, 'e': 0.6751918605944662}",30,0,-35.864846419091364,"{0: 26, 1: 1, 2: 1, 3: 1, 4: 1}",0
132,False,"{'a': 0.00299815767, 'e': 0.6731705618987418}",20,0,-24.319129542270748,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",1
133,False,"{'a': 0.00299815767, 'e': 0.6711553142955374}",25,0,-125.8438449150154,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
134,False,"{'a': 0.00299815767, 'e': 0.6691460996699053}",25,0,-126.51590717419157,"{0: 19, 1: 0, 2: 3, 3: 0, 4: 3}",0
135,False,"{'a': 0.00299815767, 'e': 0.6671428999611275}",30,0,-57.499052296786495,"{0: 20, 1: 4, 2: 6, 3: 0, 4: 0}",1
136,False,"{'a': 0.00299815767, 'e': 0.6651456971625541}",25,0,-90.64476179757565,"{0: 18, 1: 0, 2: 5, 3: 1, 4: 1}",0
137,False,"{'a': 0.00299815767, 'e': 0.6631544733214406}",25,1,-68.57623416900849,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 1}",1
138,False,"{'a': 0.00299815767, 'e': 0.6611692105387875}",30,0,-94.61698189603723,"{0: 25, 1: 1, 2: 1, 3: 0, 4: 3}",0
139,False,"{'a': 0.00299815767, 'e': 0.6591898909691787}",30,0,-47.89147351839932,"{0: 21, 1: 4, 2: 4, 3: 1, 4: 0}",0
140,False,"{'a': 0.00299815767, 'e': 0.6572164968206211}",20,6,-22.096261210817733,"{0: 11, 1: 0, 2: 2, 3: 1, 4: 0}",1
141,False,"{'a': 0.00299815767, 'e': 0.6552490103543853}",20,11,-23.386560471403183,"{0: 6, 1: 1, 2: 1, 3: 1, 4: 0}",1
142,False,"{'a': 0.00299815767, 'e': 0.6532874138848456}",25,0,-69.14150653034672,"{0: 16, 1: 1, 2: 7, 3: 1, 4: 0}",0
143,False,"{'a': 0.00299815767, 'e': 0.6513316897793209}",20,0,-93.7995145582876,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
144,False,"{'a': 0.00299815767, 'e': 0.6493818204579166}",20,8,-42.854132427155676,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 1}",1
145,False,"{'a': 0.00299815767, 'e': 0.6474377883933666}",30,0,-218.87134706202,"{0: 18, 1: 3, 2: 2, 3: 4, 4: 3}",0
146,False,"{'a': 0.00299815767, 'e': 0.6454995761108754}",25,0,-76.2418405220531,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
147,False,"{'a': 0.00299815767, 'e': 0.6435671661879613}",20,8,-38.10428104583152,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
