trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
220,False,"{'a': 0.0119926306926773, 'e': 0.07147718453076911}",20,8,8.238403866346204,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
221,False,"{'a': 0.0119926306926773, 'e': 0.07062510517577211}",20,12,18.000828252735758,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
222,False,"{'a': 0.0119926306926773, 'e': 0.06978318345683726}",30,17,7.515051268754618,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
223,False,"{'a': 0.0119926306926773, 'e': 0.06895129828480806}",20,9,20.816096350444717,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
224,False,"{'a': 0.0119926306926773, 'e': 0.0681293300140316}",25,13,-2.518788999858592,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
225,False,"{'a': 0.0119926306926773, 'e': 0.0673171604251505}",20,0,32.46109761913966,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
226,False,"{'a': 0.0119926306926773, 'e': 0.0665146727081}",20,0,-4.825901461050938,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
227,False,"{'a': 0.0119926306926773, 'e': 0.06572175144530798}",25,7,36.50813118506806,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
228,False,"{'a': 0.0119926306926773, 'e': 0.06493828259509486}",20,13,12.841486104708245,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
229,False,"{'a': 0.0119926306926773, 'e': 0.06416415347527171}",25,3,17.394177706262056,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
230,False,"{'a': 0.0119926306926773, 'e': 0.06339925274693364}",30,1,50.972182087704816,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 0}",1
231,False,"{'a': 0.0119926306926773, 'e': 0.06264347039844669}",20,0,26.30666479144943,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
232,False,"{'a': 0.0119926306926773, 'e': 0.06189669772962529}",30,24,12.808177439931432,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
233,False,"{'a': 0.0119926306926773, 'e': 0.061158827336098516}",25,0,37.77061173928886,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
234,False,"{'a': 0.0119926306926773, 'e': 0.06042975309386274}",25,0,32.56434057924472,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
235,False,"{'a': 0.0119926306926773, 'e': 0.05970937014401834}",20,10,19.121528144338487,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
236,False,"{'a': 0.0119926306926773, 'e': 0.05899757487768841}",25,12,21.969170719193084,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
237,False,"{'a': 0.0119926306926773, 'e': 0.05829426492111718}",30,22,20.26553047748141,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
238,False,"{'a': 0.0119926306926773, 'e': 0.05759933912094623}",20,13,14.678400029156897,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
239,False,"{'a': 0.0119926306926773, 'e': 0.0569126975296661}",25,17,13.659021070600163,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
240,False,"{'a': 0.0119926306926773, 'e': 0.05623424139124138}",20,8,10.19776019041207,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
241,False,"{'a': 0.0119926306926773, 'e': 0.055563873126907054}",20,3,30.551689125690476,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
242,False,"{'a': 0.0119926306926773, 'e': 0.054901496321134426}",20,12,11.320390556185279,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
243,False,"{'a': 0.0119926306926773, 'e': 0.05424701570776407}",30,17,24.166518169176157,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
244,False,"{'a': 0.0119926306926773, 'e': 0.05360033715630426}",30,0,21.848641040587093,"{0: 29, 1: 0, 2: 0, 3: 1, 4: 0}",0
245,False,"{'a': 0.0119926306926773, 'e': 0.05296136765839257}",20,0,27.795352704552432,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
246,False,"{'a': 0.0119926306926773, 'e': 0.05233001531441913}",30,16,-62.20926988003243,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 2}",1
247,False,"{'a': 0.0119926306926773, 'e': 0.0517061893203091}",25,12,25.332764779366986,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
248,False,"{'a': 0.0119926306926773, 'e': 0.05108979995446275}",20,8,21.626407300711815,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
249,False,"{'a': 0.0119926306926773, 'e': 0.050480758564851416}",20,12,12.501959192036256,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
250,False,"{'a': 0.0119926306926773, 'e': 0.04987897755626702}",25,0,-1.441800362330496,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",1
251,False,"{'a': 0.0119926306926773, 'e': 0.049284370377723805}",20,0,18.80154914923182,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
252,False,"{'a': 0.0119926306926773, 'e': 0.048696851510010034}",20,2,29.968648914690387,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
253,False,"{'a': 0.0119926306926773, 'e': 0.04811633645338839}",20,0,21.142317483829622,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
254,False,"{'a': 0.0119926306926773, 'e': 0.04754274171544269}",20,12,16.617517286591372,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
255,False,"{'a': 0.0119926306926773, 'e': 0.046975984799069684}",30,16,25.55730768656384,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
256,False,"{'a': 0.0119926306926773, 'e': 0.04641598419061384}",20,6,-16.881727731364595,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
257,False,"{'a': 0.0119926306926773, 'e': 0.04586265934814379}",20,0,3.112978038300422,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
258,False,"{'a': 0.0119926306926773, 'e': 0.045315930689868354}",20,6,24.90651116822272,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
259,False,"{'a': 0.0119926306926773, 'e': 0.04477571958269064}",35,17,-21.918947723502672,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
260,False,"{'a': 0.0119926306926773, 'e': 0.04424194833089877}",35,15,3.898999148456503,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",1
261,False,"{'a': 0.0119926306926773, 'e': 0.04371454016499129}",20,0,38.44770311690969,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
262,False,"{'a': 0.0119926306926773, 'e': 0.04319341923063577}",20,0,23.973015656575978,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
263,False,"{'a': 0.0119926306926773, 'e': 0.04267851057775909}",25,0,33.90848652196759,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
